product_id,handle,title,image_count,featured_image_url,target_filename
9261115146467,abstract-bubble-paint-basketball-jersey,Abstract Bubble Paint Basketball Jersey — Rainbow Orb AOP Tank,5,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/abstract-bubble-paint-jersey-for-court-to-festival-dressers-colorful-aop-basketball-tank-upf-ready-moisture-wicking-sportswear-assembled-in-usa-8504520.jpg?v=1782724030,abstract-bubble-paint-basketball-jersey-cutout.png
9334564880611,abstract-colorful-faces-hardcover-journal,Abstract Colorful Faces Hardcover Journal — Art Notebook,4,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/abstract-colorful-faces-hardcover-journal-artistic-gratitude-notebook-9401823.jpg?v=1782724089,abstract-colorful-faces-hardcover-journal-cutout.png
9191705641187,abstract-revolutionaire-blazer,Abstract Revolutionaire Blazer,10,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/abstract-painters-printed-suit-blazer-aop-two-button-slim-fit-jacket-3821152.png?v=1778120108,abstract-revolutionaire-blazer-cutout.png
9260923781347,acid-lime-tie-dye-swim-trunks,Acid Lime Tie-Dye Swim Trunks — Neon Spiral Quick-Dry AOP,7,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/acid-lime-tie-dye-swim-trunks-citrus-spiral-aop-quick-dry-shorts-for-pool-rave-season-1876156.jpg?v=1782724093,acid-lime-tie-dye-swim-trunks-cutout.png
9193898016995,acid-pour-aloha-shirt,Acid Pour Aloha Shirt,9,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/maximalist-print-mens-hawaiian-shirt-aop-short-sleeve-summer-button-down-9419022.png?v=1782724326,acid-pour-aloha-shirt-cutout.png
9259957747939,aerosol-alchemists-graffiti-long-sleeve,Aerosol Alchemists Long Sleeve Tee — Graffiti Sticker Bomb AOP,4,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aerosol-alchemists-long-sleeve-for-urban-graffiti-heads-neon-spray-can-creature-aop-190g-heavyweight-cotton-streetwear-festival-art-tee-4642746.png?v=1782724159,aerosol-alchemists-graffiti-long-sleeve-cutout.png
9191713243363,aesthetic-collector-ipad-case-folio,Aesthetic Collector iPad Case — Painterly AOP Folio with Stand,10,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/07051de44a6fe76b323f0df307bd42dc.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
9549043990755,aesthetic-rebellion-word-cloud-bucket-hat,Aesthetic Rebellion Word Cloud Bucket Hat — Reversible AOP,5,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aesthetic-rebellion-aop-word-cloud-reversible-bucket-hat-unisex-6425741.jpg?v=1783146550,aesthetic-rebellion-word-cloud-bucket-hat-cutout.png
9193871343843,agate-dreams-silk-bandana,Agate Dreams Silk Bandana — Blue & Amber Geode Marble Scarf,5,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/155733-15440ac0-6837-4060-92ad-3032e0e6792c.jpg?v=1774789513,agate-dreams-silk-bandana-cutout.png
9175879647459,agate-dreams-urban-jacket,Agate Dreams Urban Jacket,2,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/94e37b18-il_fullxfull.7676318424_3264.jpg?v=1774790584,agate-dreams-urban-jacket-cutout.png
